period,"Monthly – Index, 2005=100 – All-items HICP – Italy (Eurostat/prc_hicp_midx/M.I05.CP00.IT)"
1996-01,80.6
1996-02,81.0
1996-03,81.2
1996-04,81.5
1996-05,81.9
1996-06,82.0
1996-07,81.9
1996-08,82.0
1996-09,82.1
1996-10,82.2
1996-11,82.5
1996-12,82.6
1997-01,82.8
1997-02,82.8
1997-03,83.0
1997-04,83.1
1997-05,83.3
1997-06,83.3
1997-07,83.3
1997-08,83.3
1997-09,83.4
1997-10,83.7
1997-11,84.0
1997-12,84.1
1998-01,84.3
1998-02,84.6
1998-03,84.7
1998-04,84.9
1998-05,85.0
1998-06,85.0
1998-07,85.0
1998-08,85.1
1998-09,85.1
1998-10,85.3
1998-11,85.4
1998-12,85.5
1999-01,85.5
1999-02,85.7
1999-03,85.9
1999-04,86.0
1999-05,86.3
1999-06,86.3
1999-07,86.5
1999-08,86.5
1999-09,86.8
1999-10,86.9
1999-11,87.1
1999-12,87.3
2000-01,87.4
2000-02,87.7
2000-03,88.1
2000-04,88.1
2000-05,88.4
2000-06,88.6
2000-07,88.8
2000-08,88.8
2000-09,89.0
2000-10,89.3
2000-11,89.6
2000-12,89.7
2001-01,89.5
2001-02,89.0
2001-03,89.9
2001-04,90.6
2001-05,90.9
2001-06,91.2
2001-07,90.9
2001-08,90.6
2001-09,90.9
2001-10,91.4
2001-11,91.6
2001-12,91.7
2002-01,91.6
2002-02,91.4
2002-03,92.2
2002-04,92.9
2002-05,93.1
2002-06,93.2
2002-07,93.1
2002-08,93.0
2002-09,93.5
2002-10,94.0
2002-11,94.2
2002-12,94.4
2003-01,94.2
2003-02,93.8
2003-03,94.9
2003-04,95.7
2003-05,95.8
2003-06,95.9
2003-07,95.8
2003-08,95.5
2003-09,96.2
2003-10,96.6
2003-11,96.8
2003-12,96.8
2004-01,96.2
2004-02,96.1
2004-03,97.1
2004-04,97.9
2004-05,98.0
2004-06,98.2
2004-07,98.0
2004-08,97.8
2004-09,98.3
2004-10,98.6
2004-11,98.8
2004-12,99.1
2005-01,98.1
2005-02,98.0
2005-03,99.2
2005-04,100.0
2005-05,100.3
2005-06,100.3
2005-07,100.1
2005-08,99.9
2005-09,100.5
2005-10,101.2
2005-11,101.2
2005-12,101.2
2006-01,100.3
2006-02,100.2
2006-03,101.4
2006-04,102.3
2006-05,102.6
2006-06,102.7
2006-07,102.4
2006-08,102.2
2006-09,102.9
2006-10,103.1
2006-11,103.2
2006-12,103.3
2007-01,102.2
2007-02,102.3
2007-03,103.5
2007-04,104.1
2007-05,104.5
2007-06,104.7
2007-07,104.1
2007-08,103.9
2007-09,104.7
2007-10,105.5
2007-11,105.9
2007-12,106.2
2008-01,105.4
2008-02,105.5
2008-03,107.2
2008-04,107.8
2008-05,108.4
2008-06,108.9
2008-07,108.3
2008-08,108.3
2008-09,108.8
2008-10,109.3
2008-11,108.8
2008-12,108.7
2009-01,106.9
2009-02,107.1
2009-03,108.4
2009-04,109.1
2009-05,109.3
2009-06,109.5
2009-07,108.2
2009-08,108.4
2009-09,109.2
2009-10,109.6
2009-11,109.7
2009-12,109.9
2010-01,108.3
2010-02,108.3
2010-03,109.9
2010-04,110.9
2010-05,111.0
2010-06,111.1
2010-07,110.1
2010-08,110.3
2010-09,111.0
2010-10,111.8
2010-11,111.8
2010-12,112.2
2011-01,110.4
2011-02,110.6
2011-03,113.0
2011-04,114.1
2011-05,114.3
2011-06,114.4
2011-07,112.4
2011-08,112.8
2011-09,115.0
2011-10,116.0
2011-11,115.9
2011-12,116.3
2012-01,114.2
2012-02,114.4
2012-03,117.3
2012-04,118.3
2012-05,118.3
2012-06,118.5
2012-07,116.5
2012-08,116.5
2012-09,118.9
2012-10,119.2
2012-11,118.9
2012-12,119.3
2013-01,116.9
2013-02,116.7
2013-03,119.4
2013-04,119.8
2013-05,119.8
2013-06,120.1
2013-07,117.9
2013-08,117.9
2013-09,120.0
2013-10,120.1
2013-11,119.7
2013-12,120.1
2014-01,117.6
2014-02,117.2
2014-03,119.8
2014-04,120.4
2014-05,120.3
2014-06,120.4
2014-07,117.9
2014-08,117.7
2014-09,119.9
2014-10,120.3
2014-11,120.0
2014-12,120.0
2015-01,117.0
2015-02,117.3
2015-03,119.8
2015-04,120.3
2015-05,120.5
2015-06,120.7
2015-07,118.3
2015-08,118.2
2015-09,120.1
2015-10,120.7
2015-11,120.2
2015-12,120.1
2016-01,117.5
2016-02,117.0
2016-03,119.5
2016-04,119.8
2016-05,120.1
2016-06,120.3
2016-07,118.2
2016-08,118.0
2016-09,120.3
2016-10,120.5
2016-11,120.3
2016-12,120.8
2017-01,118.7
2017-02,118.9
2017-03,121.2
2017-04,122.1
2017-05,122.0
2017-06,121.9
2017-07,119.5
2017-08,119.6
2017-09,121.8
2017-10,121.8
2017-11,121.6
2017-12,122.0
2018-01,120.1
2018-02,119.6
2018-03,122.3
2018-04,122.9
2018-05,123.3
2018-06,123.5
2018-07,121.8
2018-08,121.6
2018-09,123.6
2018-10,123.8
2018-11,123.5
2018-12,123.4
2019-01,121.2
2019-02,120.9
2019-03,123.6
2019-04,124.2
2019-05,124.3
2019-06,124.4
2019-07,122.1
2019-08,122.2
2019-09,123.9
2019-10,124.0
2019-11,123.8
2019-12,123.9
2020-01,121.7
2020-02,121.1
2020-03,123.8
2020-04,124.3
2020-05,124.0
2020-06,124.0
2020-07,123.1
2020-08,121.5
2020-09,122.6
2020-10,123.4
2020-11,123.3
2020-12,123.6
2021-01,122.5
2021-02,122.3
2021-03,124.4
2021-04,125.5
2021-05,125.5
2021-06,125.6
2021-07,124.4
2021-08,124.6
2021-09,126.2
2021-10,127.4
2021-11,128.2
2021-12,128.8
2022-01,128.7
2022-02,129.8
2022-03,133.0
2022-04,133.4
2022-05,134.7
2022-06,136.3
2022-07,134.7
2022-08,135.9
2022-09,138.1
2022-10,143.3
2022-11,144.2
2022-12,144.6
2023-01,142.5
2023-02,142.6
2023-03,143.7
2023-04,144.9
2023-05,145.4
2023-06,145.4
2023-07,143.2
2023-08,143.4
2023-09,145.9
2023-10,146.0
2023-11,145.2
2023-12,145.4
2024-01,143.9
2024-02,143.8
2024-03,145.4
2024-04,146.2
2024-05,146.6
2024-06,146.8
2024-07,145.5
2024-08,145.2
2024-09,146.9
2024-10,147.4
2024-11,147.2
2024-12,147.4
2025-01,146.2
2025-02,146.3
2025-03,148.5
2025-04,149.2
2025-05,149.1
2025-06,149.4
2025-07,148.0
2025-08,147.6
2025-09,149.5
2025-10,149.3
2025-11,148.9
2025-12,149.2
